,year,iso3,pm10_concentration,pm25_concentration,no2_concentration,Code,Cause,Country,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
0,2016,BGD,128.33333333333334,69.0,,1140,Stroke,Bangladesh,BTSX,ALLAges,158000000,120674.9,76.38,2676519.0,1694.0
1,2016,BGD,128.33333333333334,69.0,,1130,Ischaemic heart disease,Bangladesh,BTSX,ALLAges,158000000,90632.07,57.36,2216751.0,1403.01
2,2016,BGD,128.33333333333334,69.0,,30,Tuberculosis,Bangladesh,BTSX,ALLAges,158000000,61224.0,38.75,2971096.0,1880.44
3,2016,BGD,128.33333333333334,69.0,,490,Neonatal conditions,Bangladesh,BTSX,ALLAges,158000000,52495.41,33.22,5453862.0,3451.81
4,2016,BGD,128.33333333333334,69.0,,1180,Chronic obstructive pulmonary disease,Bangladesh,BTSX,ALLAges,158000000,39330.24,24.89,1037541.0,656.67
5,2016,BGD,128.33333333333334,69.0,,110,Diarrhoeal diseases,Bangladesh,BTSX,ALLAges,158000000,37096.07,23.48,1652768.0,1046.06
6,2016,BGD,128.33333333333334,69.0,,390,Lower respiratory infections,Bangladesh,BTSX,ALLAges,158000000,29654.03,18.77,1545789.0,978.35
7,2016,BGD,128.33333333333334,69.0,,1530,Road injury,Bangladesh,BTSX,ALLAges,158000000,24954.0,15.79,1675153.0,1060.22
8,2016,BGD,128.33333333333334,69.0,,800,Diabetes mellitus,Bangladesh,BTSX,ALLAges,158000000,23202.02,14.68,942941.9,596.8
9,2016,BGD,128.33333333333334,69.0,,1230,Cirrhosis of the liver,Bangladesh,BTSX,ALLAges,158000000,18954.17,12.0,639805.7,404.94
10,2016,BGD,128.33333333333334,69.0,,630,Oesophagus cancer,Bangladesh,BTSX,ALLAges,158000000,17651.62,11.17,550967.4,348.71
11,2016,BGD,128.33333333333334,69.0,,620,Mouth and oropharynx cancers,Bangladesh,BTSX,ALLAges,158000000,13792.34,8.73,452063.6,286.12
12,2016,BGD,128.33333333333334,69.0,,1120,Hypertensive heart disease,Bangladesh,BTSX,ALLAges,158000000,12355.73,7.82,234281.7,148.28
13,2016,BGD,128.33333333333334,69.0,,950,Alzheimer disease and other dementias,Bangladesh,BTSX,ALLAges,158000000,12210.88,7.73,223431.4,141.41
14,2016,BGD,128.33333333333334,69.0,,1400,Congenital anomalies,Bangladesh,BTSX,ALLAges,158000000,11289.46,7.15,1082093.0,684.87
15,2016,BGD,128.33333333333334,69.0,,680,"Trachea, bronchus, lung cancers",Bangladesh,BTSX,ALLAges,158000000,10523.97,6.66,290393.2,183.79
16,2016,BGD,128.33333333333334,69.0,,1270,Kidney diseases,Bangladesh,BTSX,ALLAges,158000000,9305.97,5.89,390885.5,247.4
17,2016,BGD,128.33333333333334,69.0,,1190,Asthma,Bangladesh,BTSX,ALLAges,158000000,8384.24,5.31,278498.2,176.26
18,2016,BGD,128.33333333333334,69.0,,1570,Drowning,Bangladesh,BTSX,ALLAges,158000000,8050.49,5.1,576948.6,365.16
19,2016,BGD,128.33333333333334,69.0,,640,Stomach cancer,Bangladesh,BTSX,ALLAges,158000000,6247.9,3.95,193664.0,122.57
20,2016,BGD,128.33333333333334,69.0,,700,Breast cancer,Bangladesh,BTSX,ALLAges,158000000,6026.74,3.81,206402.2,130.63
21,2016,BGD,128.33333333333334,69.0,,1610,Self-harm,Bangladesh,BTSX,ALLAges,158000000,5357.48,3.39,292813.6,185.33
22,2016,BGD,128.33333333333334,69.0,,710,Cervix uteri cancer,Bangladesh,BTSX,ALLAges,158000000,4789.23,3.03,175755.7,111.24
23,2016,BGD,128.33333333333334,69.0,,420,Maternal conditions,Bangladesh,BTSX,ALLAges,158000000,4691.5,2.97,317167.2,200.74
24,2016,BGD,128.33333333333334,69.0,,752,Gallbladder and biliary tract cancer,Bangladesh,BTSX,ALLAges,158000000,4539.06,2.87,145303.0,91.96
25,2016,BGD,128.33333333333334,69.0,,1620,Interpersonal violence,Bangladesh,BTSX,ALLAges,158000000,4460.29,2.82,344022.0,217.74
26,2016,BGD,128.33333333333334,69.0,,1242,Paralytic ileus and intestinal obstruction,Bangladesh,BTSX,ALLAges,158000000,4351.95,2.75,166583.2,105.43
27,2016,BGD,128.33333333333334,69.0,,650,Colon and rectum cancers,Bangladesh,BTSX,ALLAges,158000000,3874.25,2.45,122810.1,77.73
28,2016,BGD,128.33333333333334,69.0,,550,Protein-energy malnutrition,Bangladesh,BTSX,ALLAges,158000000,3218.35,2.04,274959.8,174.03
29,2016,BGD,128.33333333333334,69.0,,960,Parkinson disease,Bangladesh,BTSX,ALLAges,158000000,3031.48,1.92,53000.32,33.54
30,2016,BGD,128.33333333333334,69.0,,1550,Falls,Bangladesh,BTSX,ALLAges,158000000,2976.37,1.88,262263.5,165.99
31,2016,BGD,128.33333333333334,69.0,,870,Drug use disorders,Bangladesh,BTSX,ALLAges,158000000,2705.67,1.71,215573.1,136.44
32,2016,BGD,128.33333333333334,69.0,,1110,Rheumatic heart disease,Bangladesh,BTSX,ALLAges,158000000,2679.13,1.7,140432.3,88.88
33,2016,BGD,128.33333333333334,69.0,,753,Larynx cancer,Bangladesh,BTSX,ALLAges,158000000,2582.35,1.63,77811.17,49.25
34,2016,BGD,128.33333333333334,69.0,,660,Liver cancer,Bangladesh,BTSX,ALLAges,158000000,2556.43,1.62,82328.97,52.11
35,2016,BGD,128.33333333333334,69.0,,760,"Lymphomas, multiple myeloma",Bangladesh,BTSX,ALLAges,158000000,2381.92,1.51,88682.59,56.13
36,2016,BGD,128.33333333333334,69.0,,170,Meningitis,Bangladesh,BTSX,ALLAges,158000000,2295.55,1.45,158764.6,100.48
37,2016,BGD,128.33333333333334,69.0,,130,Whooping cough,Bangladesh,BTSX,ALLAges,158000000,2226.19,1.41,197687.4,125.12
38,2016,BGD,128.33333333333334,69.0,,186,Acute hepatitis A,Bangladesh,BTSX,ALLAges,158000000,2158.78,1.37,90720.53,57.42
39,2016,BGD,128.33333333333334,69.0,,730,Ovary cancer,Bangladesh,BTSX,ALLAges,158000000,1929.07,1.22,73069.43,46.25
40,2016,BGD,128.33333333333334,69.0,,1248,Pancreatitis,Bangladesh,BTSX,ALLAges,158000000,1792.71,1.13,62515.74,39.57
41,2016,BGD,128.33333333333334,69.0,,770,Leukaemia,Bangladesh,BTSX,ALLAges,158000000,1738.58,1.1,90764.52,57.45
42,2016,BGD,128.33333333333334,69.0,,740,Prostate cancer,Bangladesh,BTSX,ALLAges,158000000,1442.38,0.91,28882.93,18.28
